Business Name,Business Type,Physical Location/Address,Business Zipcode,Business Website,Business Phone Number,Business Email,Other Information
PAPERCUTS BOOKSHOP,Retail,60 South Street,02130,papercutsjp.com,617-522-3404,info@papercutsjp.com,N/A
Casa Aroma Candles,Retail,"Malden, MA",02148,,,casaaromacandles@gmail.com,Minority-owned
American Dream Home Care Agency LLC,Healthcare,33 Dover St,02301,,17742238801,tavaresdonations69@gmail.com,Immigrant-owned
World-Pro Paint Corp,Construction Painting,1269 Hyde Park Ave,02136,https://World-Propaint.com,16173918729,hello@world-propaint.com,Minority-owned
High Tech Construction ,Professional Services,Boston MA ,02119,hightechconstructionpros.com,(508) 308-4915,hightechconstructionpros@outlook.com,"Minority-owned, Immigrant-owned"
American Speech Coach,"Education, Professional Services, Self Development, Communication Skills Coaching","3531 Washington St, Boston, MA ",02130,www.americanspeechcoach.com,2016754034,diandra@americanspeechcoach.com,N/A
Betty D’Minx,"Creative Economy, Retail",Roxbury,02119,www.bettydminx.com,617.996.0055,Get@bettydminx.com,Minority-owned
"Kristina Melendez, Realtor",Real Estate,"Boston, MA",02122,https://kristinamelendez.kw.com,6177043818,kristinamelendez@kw.com,Minority-owned
New Moon Wellness,"Healthcare, Holistic Wellness","Everett, MA",02149,www.newmoonwellnesslauren.com,978-595-8787,reikilauren@gmail.com,N/A
Ivy’s Crown HC,"Healthcare, Hair care",59-69 MSGR LYDON WAY BOSTON MA ,02124,,6172300680,ivyscrownhc@gmail.com,N/A
KINGS & QUEENS CONSULTING LLC,"Education, Financial Services, Professional Services, COACHING AND MENTORING",859 WILLARD STREET SUITE 400,02169,www.kingsandqueensconsultingllc.com,857-241-0400,whitneymiller@kingsandqueensconsultingllc.com,Minority-owned
I  AM AMBIANCE ENTERPRISES LLC,"Education, Professional Services, Retail, hair salon",811 River Street,02136,www.iamambiancellc.com,16176209254,support@iamambiancellc.com,Minority-owned
Beckles Beauty LLC,"Creative Economy, Professional Services, Beauty Services ",811 River St,02124,www.becklesbeauty.com,6176225324,Support@becklesbeauty.com,"Minority-owned, Immigrant-owned"
ButtaH Beauty,E-commerce Natural Skin Care Brand ,Boston Ma,02126,buttahbeauty.com,6172914702,Info@buttahbeauty.com,Minority-owned
Chelsealately,Esthetician ,1752 Dorchester ave ,02125,,8573858111,Juschelz@icloud.com,N/A
Lègere Loungewear ,Fashion/Beauty,"139 Main Street, North Easton, MA 02356",02356,n/a,6178690328,N/a,N/A
The Beauty Executives’s Aesthetics ,Spa,653 Washington st unit A Quincy ma ,02169,www.beautyexecs.com,7742085568,Info@beautyexecs.com,Minority-owned
Tayla Made LLC,"Creative Economy, Education, Professional Services",472 Washington Street,02124,www.taylaandre.com,6174590041,taylaandre@thumbprintrealty.com,Minority-owned
Bee Chic Events,Events ,Boston MA,02113,beechicevents.com,3392213092,info@beechicevents.com,Minority-owned
Jocelyn Manjarrez,Financial Services,206 Commonwealth Ave Apt 5,02116,https://ontomortgage.com/team-member/jocelyn-manjarrez/,617-335-5513,jmanjarrez@ontomortgage.com,N/A
Ellisha Alexina Textiles,"Creative Economy, Manufacturing","460 Harrison Ave, C3",02118,www.ellishaalexina.com,774-364-0179,ellisha@ellishaalexina.com,N/A
Avanti Studios,"Creative Economy, Professional Services, Photography","46 Waltham St. Suite 109 Boston,MA",02118,www.avantistudios.com,6172300720,scoopmcd53@gmail.com,N/A
OnyxGroup Development & Brokerage LLC,"Professional Services, Real Estate",50 Moreland Street,02119,www.onyxbos.com,6177922268,csmart@onyxbos.com,Minority-owned
Our Village Initiative,"Creative Economy, Financial Services, Professional Services","472A Washington St, Boston MA 02124",02124,www.ourvillageinitiative.com,6175454357,info@ourvillageinitiative.com,"Minority-owned, Immigrant-owned"
Mission Advisory Group,Legal and Investigative Group,"1834 Centre Street, #451",02132,missionadvisorygrp.com,6173026720,gretchen@missionadvisorygrp.com,N/A
Honeycomb Collaborative,"Creative Economy, Market Research, Strategy and Design","Melrose, MA",02176,https://honeycombcollaborative.com/,6173834115,tara.pastina@honeycombcollaborative.com,Minority-owned
MW Hair Studio Boston ,Hair Salon,401 W 1st Street,02127,mwhairstudioboston.com,6177524212,Mwhairstudioboston@gmail.com,N/A
Greely Creative,Creative Economy,150 Poplar Street,02131,greelycreative.com,5083316318,beth@greelycreative.com,N/A
BRENDA ANGEL'S SERVICES,"Professional Services, NOTARY PUBLIC, counseling multi services ",UNKNOWN,02124,,,BRENDAANGELSSERVICES@OUTLOOK.COM,Minority-owned
"Mass Mobile Phlebotomy Services, LLC",Healthcare,"361 Newbury St, Suite 450, Boston Ma",02115,www.massmobilephlebotomy.com,857-800-2225,massmobilephleb@outlook.com,Minority-owned
DeLuca's Market,"Food and Beverage, Retail",11 Charles St,02114,www.delucasmarket.com,617-523-4343,victoria.delucasmarket@gmail.com,N/A
Butterflyfoxx Productions,"Education, Food and Beverage",58 Dudley Street,02119,https://valeriefoxxbutterflyfoxxproductions.com/,6176782655,valerie.r.foxx@gmail.com,Minority-owned
Phenomenally Speaking with Valerie Foxx,Professional Services,58 Dudley Street,02119,,617-678-2655,phenomenallyspeaking@gmail.com ,Minority-owned
Lobos Enterprise LLC,Party Rental Company and Event Space,"42 Corinth St, Roslindale, MA",02131,www.LePetitSpace.com,8572699420,info@lepetitspace.com,Minority-owned
Lindsey Canant Brand & Marketing,"Creative Economy, Professional Services, Retail",17 Worcester Street,02118,lindseycanant.com,,lindsey@lindseycanant.com,N/A
The Rose Maven,Retail,62 Howard St Randolph,02368,therosemaven.com,6172099917,elle@therosemaven.com,Minority-owned
JLW Medical Management Consulting ,"Healthcare, Professional Services, Social Service",399 Boylston Street,02116,www.jlwmedicalmh.com,8572420222,info@jlwmedicalmh.com,Minority-owned
Maison Green,Creative Economy,"156 Porter St #108, Boston MA",02128,maisongreenboston.com,6172850528,maisongreen.boston@gmail.com,N/A
AMAL,I formulate plant based skin care,29 Nelson St,02124,www.amalcreams.com,6173524927,amalcreams@gmail.com,Minority-owned
CrownBox Gift Company ,Retail,"757 Gallivan Blvd #1008 Dorchester, MA 02122 ",02122,www.CrownBoxCo.com,617-910-0535,Hello@crownboxco.com,Minority-owned
Soma Yoga Center,Health and Fitness,256 Hanover Street,02113,www.somayogacenter.com ,8572653619,gina@somayogacenter.com ,N/A
Gemmed by Gia LLC,Professional Services,"51 Washington St, Brighton, MA 02135",02135,gemmedbygia.com,8572505526,inquiries@gemmedbygia.com,Minority-owned
8 Stratton Event Management,Professional Services,"1137 Washington Street, Suite 101, Dorchester, MA",02124,www.8stratton.com,,kelly@8stratton.com,N/A
Crystal Trail Cleaning Services,"Professional Services, Cleaning Service","1 Shandon Road, Ste 313",02124,,857 203 2380,crystaltrail360@gmail.com,"Minority-owned, Immigrant-owned"
Golden Flor Wellness,Doula & Wellness,In-home support,02136,www.goldenflor.com,6179100498,goldenflorwellness@gmail.com,Minority-owned
KQs BUTTA,Creative Economy,10 Peirce Ave,02149,https://kqsbutta.com/,16176023976,CHANDARENEE@HOTMAIL.COM,Minority-owned
Infinite Beauty Lounge,"Healthcare, Med Spa","75 Adams St, suite F (2nd floor)",02186,www.infinitebeautyloungema.com,617-319-9404,Infinitebeautylounge@gmail.com,Immigrant-owned
Event Staffing by Josie,Provide event staff,"23 Goodale Road, 1",02126,www.eventstaffingbyjosie.com,6173721720,josie@eventstaffingbyjosie.com,"Minority-owned, Immigrant-owned"
True Essence Beauty Supply,"Healthcare, Retail",Currently online based,02124,www.trueessencebeautysupply.com,6179350011,thequeenzessence@gmail.com,Minority-owned
STORII PRODUCTIONS INC,Physical Activity & Wellness,"Boston, MA",02121,,6173044073,storiiproductions@gmail.com,"Minority-owned, Immigrant-owned"
Poise Health,"Healthcare, Professional Services",867 Boylston Street 5th Floor #1194,02116,https://www.findpoise.com/,1 (857) 263-3829,divia@findpoise.com,"Minority-owned, Immigrant-owned"
Informatix Health,Healthcare,55 Knapp Center,02301,www.informatixhealth.com,5085847956,jonyango@informatixhealth.com,"Minority-owned, Immigrant-owned"
Maria Servellon Video | Photo,"Creative Economy, Education, Professional Services","Boston, MA",02124,mariaservellon.com,8572094494,riaservellon@gmail.com,Minority-owned
Kay's Curries,Food and Beverage,Melrose,02176,kayscurries.com,781-606-0850,kay@kayscurries.com,"Minority-owned, Immigrant-owned"
Zenagos,Education,"Quincy, MA",02171,https://zenagos.com/,6174488821,mavis@zenagos.com,Minority-owned
SML Associates ,Private Investigations ,43 Colchester Street ,2136,n/a,508-932-9074,Smlassociates617@gmail.com,N/A
Curation Agency ,"Creative Economy, Professional Services, Event & Experiential Production","50 Milk St. Boston, MA ",02109,,(617) 701-6003,diana@curation.agency ,Minority-owned
CURATED RENTALS ,"Creative Economy, Professional Services, Tabletop Rental Studio ","650 Eastern Ave. Malden, MA ",02148,www.curated-rentals.com,617-953-8917,info@curated-rentals.com,Minority-owned
CURATED RENTALS ,"Creative Economy, Professional Services, Tabletop Rental Studio ",650 Eastern Ave. Malden MA ,02148,http://www.curated-rentals.com,617-953-8917,info@curated-rentals.com,Minority-owned
VA Graphx,"Creative Economy, Graphic Design",Massachusetts,02108,,7746337120,vagraphx@gmail.com,Minority-owned
Manman Myrthe's Pantry LLC,Food and Beverage,196 Quincy St,02121,www.mamanpantry.com,6174476954,nathalie@mamanpantry.com,"Minority-owned, Veteran-owned"
Dream Kid Spa,Kid entertainment ,15 Dana Ave. ,02316,www.dreamkidspa.com,617-800-0402,Info@dreamkidspa.com,"Minority-owned, Immigrant-owned"
J. Ventures International LLC ,Business development and marketing ,757 Gallivan Blvd. Boston Ma,02122,jventuresinternational.com,6174196725,Hello@jventuresinternational.com,Minority-owned
Blue Booby,Clean-tech/Green-tech,665 Washington St Unit 1816,02111,,2029996474,,Immigrant-owned
LT Fitness & Performance LLC,Fitness,8 Nightingale St Dorchester MA,02124,,8573188514,Ltfitperformance@gmail.com,Minority-owned
On The Move Physical Therapy & Wellness,Healthcare,46 Mercer St. ,02127,www.otmptwellness.com,857 767-6683,jen@otmptwellness.com,N/A
Nerdy Diva,"Creative Economy, Education, Professional Services, Retail, Technology","24 School St, Boston, MA",02108,www.nerdydiva.com,,shanae@nerdydiva.com,Minority-owned
Love Balungi,"Creative Economy, Manufacturing, Retail",123 Antwerp St. ,02135,https://lovebalungi.com,857-218-0977,lovebalungi@gmail.com,Minority-owned
Cambio Extremo Beauty Center LLC ,Healthcare,4258 Washington St,02131,www.cambioextremo.us,8572377315,Aljoyalp2912@gmail.com,Minority-owned
Expozedtv llc ,"Professional Services, Media ",51 b st #6 Hanover Ma ,02339,www.expozedtv.com,6178942203,Expozed.ent@gmail.com,Minority-owned
The Healing Hound LLC,"Healthcare, Post-Operative Care for Dogs and and alternative to medical boarding",45 Blanchard Rd Cambridge MA ,02138,thehealinghound.info,480-313-1716,contactthehealinghound@gmail.com,N/A
Momentz of Meaning Events LLC,"Professional Services, Event Planning ",6 School Street ,02124,www.momentzofmeaning.com ,85740091526,events@momentzofmeaning.com ,Minority-owned
LLC,Bio-tech & Life Sciences,"PO BOX 255278 BOSTON, MA 02125",02125,https://www.komodotech.io/,8573125714,angelica.arnoux@ktechboston.com,Minority-owned
Love Balungi LLC,"Professional Services, Retail","Boston, MA",02135,https://lovebalungi.com,857-218-0977,lovebalungi@gmail.com,Minority-owned
MVS Welding LLC.,Ironworks - Misc. Metals & Welding,27 Tennis Rd.,02126,mvswelding.com,6179100270,mvswelding@gmail.com,Minority-owned
OnyxGroup Realty & Brokerage LLC,"Creative Economy, Professional Services, Brokerage & Development","552 Columbus Ave, Unit 2, Boston, MA",02118,www.onyxbos.com,6172493081,csmart@onyxbos.com,"Minority-owned, Veteran-owned"
Dog Eat Cake Pet Bakery,Dog Bakery,"298 Columbus Ave, Boston Ma",02116,www.dogeatcake.com,6176787000,woof@dogeatcake.com,N/A
not applicable,Retail,166 South St,02130,sweetpeaandsagejp.com,617-297-7311,info@sweetpeaandsagejp.com,N/A
NA,"Education, Healthcare","93 Howland Street Boston, MA 02121",02121,www.queencures.com,6178882239,Jacinthc@queencures.com,Minority-owned
?,Restaurant & Catering,120 Boston St Dorchester MA 02125,02125,www.djsmarketanddeli.com,617-436-9766,djsmarketanddeli@gmail.com,N/A
Events planner,Creative Economy,54 Bicknell St. unit 1,02121,,7577537551,She.operations@gmail.com,Minority-owned
"Nur Group, LLC. ","Financial Services, Professional Services","101 King Street, Boston, MA",02122,nur.ventures,7744440044,hello@nur.ventures,"Minority-owned, Immigrant-owned"
Monterrosa Drywall & Framing Inc,Special Trade - Construction,2 Neptune Road,02128,www.monterrosadrywallandframing.com,6179979271,mirna@monterrosadrywallandframing.com,"Minority-owned, Immigrant-owned"
Celeste & Park Pet Sitting,Professional Services,"Somerville, MA",02144,https://www.celesteparkpetsitting.com,,celesteparkpetsitting@gmail.com,N/A
n/a,"Creative Economy, Healthcare",33 dunster street,02138,www.dxdunster.com,6179057267,Raesiastraker@dxdunster.com,Minority-owned
Salon Monét ,"Professional Services, Healthy hair salon ",168 Newbury St. 2nd fl,02116,hairsslonmonet.com,16174250009,HairSalonmonet@aol.com,Minority-owned
Salon Monét ,"Professional Services, Hair salon ",176 Newbury st.,02116,hairsalonmonet.com,6174250009,Shelleemendes@gmail.com,Minority-owned
sweeties,"Food and Beverage, Restaurant & Catering, Retail",48 Corinth St. Roslindale,02131,www.sweeties-social.com,,anika.ws.gramsey@gmail.com,Minority-owned
Neide Hall ,"Retail, Online store",I dont have ,02445,Www.nhallresortwear.com,6503461541,neide@nhallresortwear.com,Immigrant-owned
Business Name: LBM Jewelry,Retail,"33 Dover Street   Unit 327. Brockton, Ma 02301",02301,www.lbmjewelry.com,,Alycia@lbmjewelry.com,Minority-owned
Pendhu,"Creative Economy, Retail",61 Locust St. Apt 461. Medford MA,02155,www.pendhu.com,8014419262,melanie@pendhu.com,"Minority-owned, Immigrant-owned"
EcoBellas LLC,Professional Services,East Boston,02128,cinderbellasecocleaning.com,6172370712,CinderbellasEcoCleaning@gmail.com,N/A
N/A.   TheTéSpa ,"Education, Food and Beverage, Restaurant & Catering, Retail",N/A,02126,www.thetespa.com,617-818-4294 ,thetespa@gmail.com,Minority-owned
 Seila Herrera,Food and Beverage,4437A Washington St ,02131,laspalmaskitchen.com,6178693865,Laspalmasrest@icloud.com,"Minority-owned, Immigrant-owned"
Manaa & Associates,"Food and Beverage, Retail","63-65 poplar street, roslindale",02131,http://evidenceoftrustafricanmarket.com,781-492-5463,oluwatoyin.oshin@gmail.com,"Minority-owned, Immigrant-owned"
Poetose LLC,Publishing,NA,02109,www.poetose.com,,hello@poetose.com,Minority-owned
