Business Name,Business Type,Physical Location/Address,Business Zipcode,Business Website,Business Phone Number,Business Email,Other Information,Unnamed: 8,Unnamed: 9,Neighborhood
"Love Child, LLC",Other Services (Except Public Administration),"364 W Broadway Boston, MA",2127,www.lovechild.co,6174805512,info@lovechild.co,,,,South Boston
LsLuxe Designs,"Professional, Scientific, and Technical Services","Boston,MA",2116,https://lsluxedesigns.com/, (857) 246-8408, lsluxedesigns@gmail.com,Immigrant-owned,,,Back Bay/Beacon Hill
LT Fitness & Performance LLC,"Amusement, Recreation, and Transportation",8 Nightingale St Dorchester MA,2124,No Website,8573188514,Ltfitperformance@gmail.com,Minority-owned,,,Dorchester
Luna Healing,"Professional, Scientific, and Technical Services",Online Business Only,2115,http://www.lunahealingcrystals.com,6179530899,lunahealing@yahoo.com,Minority-owned,,,Fenway/Kenmore
Maison Green,"Professional, Scientific, and Technical Services","156 Porter St #108, Boston MA",2128,maisongreenboston.com,6172850528,maisongreen.boston@gmail.com,,,,East Boston
MakerHealth,Healthcare and Social Assistance,"23 Drydock Ave. Boston, MA ",2210,http://www.makerhealth.co,No Number,anna@makerhealth.co,,,,South Boston
Manaa & Associates,Accommodation and Food Services,"63-65 poplar street, roslindale",2131,http://evidenceoftrustafricanmarket.com,781-492-5463,oluwatoyin.oshin@gmail.com,"Minority-owned, Immigrant-owned",,,Roslindale
Manman Myrthe's Pantry LLC,Accommodation and Food Services,196 Quincy St,2121,www.mamanpantry.com,6174476954,nathalie@mamanpantry.com,"Minority-owned, Veteran-owned",,,Roxbury
Maria Servellon Video | Photo,"Professional, Scientific, and Technical Services","Boston, MA",2124,mariaservellon.com,8572094494,riaservellon@gmail.com,Minority-owned,,,Dorchester
"Mass Mobile Phlebotomy Services, LLC",Healthcare and Social Assistance,"361 Newbury St, Suite 450, Boston Ma",2115,www.massmobilephlebotomy.com,857-800-2225,massmobilephleb@outlook.com,Minority-owned,,,Fenway/Kenmore
McDermott Ventures ,"Professional, Scientific, and Technical Services",McDermott Ventures ,2110,Http://mcdermottventures.com,6175579190,carolyn@mcdvent.com,,,,Central Boston
Medical Aesthetics on Tremont,Healthcare and Social Assistance,655 Tremont Street,2118,https://www.medicalaestheticsontremont.com/,8572398067,info@maont.com,,,,South End
Meet the Creators ,Other Services (Except Public Administration),"20 Dennis Street, Boston MA",2119,No Website,617-756-8022,contact@meetthecreators.net,Minority-owned,,,Roxbury
Megan Fine Health & Life Coaching,"Professional, Scientific, and Technical Services",69 JOSEPHINE AVENUE,2144,https://www.coachedbymegan.com/,4845530416,meg.e.fine@gmail.com,,,,Somerville
Miss.technology,"Professional, Scientific, and Technical Services",11 new whitney st boston ma ,2115,No Website,No Number,ilvert.shawneice@gmail.com,,,,Fenway/Kenmore
Mission Advisory Group,"Professional, Scientific, and Technical Services","1834 Centre Street, #451",2132,missionadvisorygrp.com,6173026720,gretchen@missionadvisorygrp.com,,,,West Roxbury
Momentz of Meaning Events LLC,"Professional, Scientific, and Technical Services",6 School Street ,2124,www.momentzofmeaning.com ,85740091526,events@momentzofmeaning.com ,Minority-owned,,,Dorchester
Monogram Ring,Retail Trade,N. Billerica ,2215,http://www.AbigailPope.com,334-547-9481,popemodern@gmail.com,,,,Fenway/Kenmore
Monterrosa Drywall & Framing Inc,Construction,2 Neptune Road,2128,www.monterrosadrywallandframing.com,6179979271,mirna@monterrosadrywallandframing.com,"Minority-owned, Immigrant-owned",,,East Boston
Motivated Helpers Green Residential Cleaning ,"Professional, Scientific, and Technical Services",Melrose ,2176,https://motivatedhelper.com/,404-396-5695,Motivatedhelpers@gmail.com,Minority-owned,,,Melrose
MVS Welding LLC.,Construction,27 Tennis Rd.,2126,mvswelding.com,6179100270,mvswelding@gmail.com,Minority-owned,,,Mattapan
MW Hair Studio Boston ,Other Services (Except Public Administration),401 W 1st Street,2127,mwhairstudioboston.com,6177524212,Mwhairstudioboston@gmail.com,,,,South Boston
,Accommodation and Food Services,33 dunster street,2138,www.dxdunster.com,6179057267,Raesiastraker@dxdunster.com,Minority-owned,,,Cambridge
N/A.   TheTéSpa ,Accommodation and Food Services,,2126,www.thetespa.com,617-818-4294 ,thetespa@gmail.com,Minority-owned,,,Mattapan
,Retail Trade,"93 Howland Street Boston, MA 02121",2121,www.queencures.com,6178882239,Jacinthc@queencures.com,Minority-owned,,,Roxbury
Neide Hall ,Retail Trade,I dont have ,2445,Www.nhallresortwear.com,6503461541,neide@nhallresortwear.com,Immigrant-owned,,,Brookline
Nerdy Diva,"Professional, Scientific, and Technical Services","24 School St, Boston, MA",2108,www.nerdydiva.com,No Number,shanae@nerdydiva.com,Minority-owned,,,Back Bay/Beacon Hill
New Moon Wellness,Healthcare and Social Assistance,"Everett, MA",2149,www.newmoonwellnesslauren.com,978-595-8787,reikilauren@gmail.com,,,,Everett
New Park Creative,"Professional, Scientific, and Technical Services","120 St James Ave Floor 6, Boston Ma",2116,https://www.newparkcreative.com,617-249-1231,Carrianne@newparkcreative.com,Minority-owned,,,Back Bay/Beacon Hill
Nimba LLC dba Amorino,Accommodation and Food Services,249 Newbury Street,2116,No Website,6179539682,lea.sasportes@gmail.com,Immigrant-owned,,,Back Bay/Beacon Hill
Norelle Done,"Professional, Scientific, and Technical Services",N/A (Digital only),2108,http://www.norelledone.com,206-941-2831,norelledone@gmail.com,,,,Back Bay/Beacon Hill
not applicable,Retail Trade,166 South St,2130,sweetpeaandsagejp.com,617-297-7311,info@sweetpeaandsagejp.com,,,,Jamaica Plain
Not yet,Retail Trade,Not yet,2155,No Website,860 338 2051,Sopra787@gmail.com,,,,Medford
"Nur Group, LLC. ","Professional, Scientific, and Technical Services","101 King Street, Boston, MA",2122,nur.ventures,7744440044,hello@nur.ventures,"Minority-owned, Immigrant-owned",,,Dorchester
On The Move Physical Therapy & Wellness,Healthcare and Social Assistance,46 Mercer St. ,2127,www.otmptwellness.com,857 767-6683,jen@otmptwellness.com,,,,South Boston
OnyxGroup Development & Brokerage LLC,"Real Estate, Rental and Leasing",50 Moreland Street,2119,www.onyxbos.com,6177922268,csmart@onyxbos.com,Minority-owned,,,Roxbury
OnyxGroup Realty & Brokerage LLC,"Professional, Scientific, and Technical Services","552 Columbus Ave, Unit 2, Boston, MA",2118,www.onyxbos.com,6172493081,csmart@onyxbos.com,"Minority-owned, Veteran-owned",,,South End
Our Village Initiative,"Professional, Scientific, and Technical Services","472A Washington St, Boston MA 02124",2124,www.ourvillageinitiative.com,6175454357,info@ourvillageinitiative.com,"Minority-owned, Immigrant-owned",,,Dorchester
PAPERCUTS BOOKSHOP,Retail Trade,60 South Street,2130,papercutsjp.com,617-522-3404,info@papercutsjp.com,,,,Jamaica Plain
Paramo Snacks,Retail Trade,"399 Congress St,  # 602",2210,www.paramosnacks.us,6173187501,margarita.cabal@paramosnacks.com,Minority-owned,,,South Boston
"Parkway Driving School, LLC","Professional, Scientific, and Technical Services",1752 Centre Street,2132,http://parkwaydrivingschool.com/,6174774257,info@parkwaydrivingschool.com,,,,West Roxbury
"Parkway Driving School, LLC","Professional, Scientific, and Technical Services","1752 Centre Street, West Roxbury, MA  02132",2132,https://parkwaydrivingschool.com/,617-477-4257,Info@parkwaydrivingschool.com,,,,West Roxbury
Parkway Wealth Management,"Professional, Scientific, and Technical Services","20 McKenna Terrace Suite 303 
West Roxbury MA",2132,http://parkwaywealth.net,617-620-5172,eduffy@parkwaywealth.net,,,,West Roxbury
Parsnip,"Professional, Scientific, and Technical Services",50 Malden Street,2118,https://parsnip.me,9196215601,sally@parsnip.me,,,,South End
Pendhu,Retail Trade,61 Locust St. Apt 461. Medford MA,2155,www.pendhu.com,8014419262,melanie@pendhu.com,"Minority-owned, Immigrant-owned",,,Medford
Phenomenally Speaking with Valerie Foxx,"Professional, Scientific, and Technical Services",58 Dudley Street,2119,No Website,617-678-2655,phenomenallyspeaking@gmail.com ,Minority-owned,,,Roxbury
Pie for Bands Inc,"Professional, Scientific, and Technical Services",543 Dorchester Ave,2127,No Website,No Number,emily@pieforbands.com,,,,South Boston
Pillar Search & HR Consulting,"Professional, Scientific, and Technical Services","389 Beacon Street, No. 9",2116,https://www.pillarsearch.com,6175297708,cindy@pillarsearch.com,,,,Back Bay/Beacon Hill
PM MECHANICAL SERVICES,"Professional, Scientific, and Technical Services",40 lonsdale st,2124,http://www.pmmechanicalservices.com/,6174330940,karaanneb99@gmail.com,,,,Dorchester
Poetose LLC,Information,,2109,www.poetose.com,No Number,hello@poetose.com,Minority-owned,,,Central Boston
Poise Health,Healthcare and Social Assistance,867 Boylston Street 5th Floor #1194,2116,https://www.findpoise.com/,1 (857) 263-3829,divia@findpoise.com,"Minority-owned, Immigrant-owned",,,Back Bay/Beacon Hill
Potencia,Education,"574 Boston Ave, Medford, MA",2155,https://www.potenciaus.org,(617) 580 - 0176,team@potenciaus.org,,,,Medford
Power Within Her,"Professional, Scientific, and Technical Services","235 High Stree W.Barnstable, Ma.",2101,http://www.powerwithinher.com ,7744130073,patricia@powerwithinher.com,,,,Central Boston
Presidential Properties,"Real Estate, Rental and Leasing","17 Myrtle Street, Boston, MA 02114",2114,http://www.yourbostonapartments.com/,857-362-7306,Boston@PresidentialProperties.us,,,,Central Boston
Presidential Properties L.L.C.,"Real Estate, Rental and Leasing",17 Myrtle Street,2114,https://yourbostonapartments.com/,617-256-5516,Kristie@PresidentialProperties.us,,,,Central Boston
Purposeful Projects Group,"Professional, Scientific, and Technical Services","Charlestown, MA",2129,https://purposefulprojectsgroup.com,No Number,rleonard@purposefulprojectsgroup.com,,,,Charlestown
Purrmore Cat Care,"Professional, Scientific, and Technical Services",Jamaica Plain,2130,https://www.purrmorecats.com/,617-870-3760,purrmore@purrmorecats.com,Immigrant-owned,,,Jamaica Plain
Queens Royal Cleaning Co,"Professional, Scientific, and Technical Services",289 georgetowne drive,2136,No Website,7742970225,tweston128@gmail.com,Minority-owned,,,Hyde Park
Quincy's Place,Accommodation and Food Services,254 Faneuil Hall Marketplace,2109,www.quincymarketsweets.com,617-723-3635,Syoungelson@aol.com,,,,Central Boston
Red Dress Events LLC ,"Professional, Scientific, and Technical Services","26 Mallon Road, Dorchester Massachusetts ",2121,No Website,617-602-8556 ,Reddressevents@outlook.com ,Minority-owned,,,Roxbury
Rhodesia J Designs,"Professional, Scientific, and Technical Services",6 Liberty Square  PMB #211 ,2109,https://www.rhodesiajdesigns.com,6172977717,me@rhodesiajdesigns.com,Minority-owned,,,Central Boston
Salon Monét ,Other Services (Except Public Administration),168 Newbury St. 2nd fl,2116,hairsslonmonet.com,16174250009,HairSalonmonet@aol.com,Minority-owned,,,Back Bay/Beacon Hill
Salon Monét ,Other Services (Except Public Administration),176 Newbury st.,2116,hairsalonmonet.com,6174250009,Shelleemendes@gmail.com,Minority-owned,,,Back Bay/Beacon Hill
Samar Real Estate Solutions LLC,Construction,165 South Street unit 2L,2130,https://solutionsbysamar.com,617-780-5293,samar@solutionsbysamar.com,,,,Jamaica Plain
Satin Kiss,Retail Trade,"6 Liberty Sq., #2208, Boston, MA 02109",2109,https://www.satinkiss.me,857-308-4052,contact@satinkiss.me,Minority-owned,,,Central Boston
Seacrest Corp,Other Services (Except Public Administration),"Boston, MA",2109,https://seacrestcorp.com/contact-us,No Number,arianna@seacrestcorp.com,Minority-owned,,,Central Boston
Seawright Realty Group,"Real Estate, Rental and Leasing",81 West Street,2136,No Website,6176371873,kakins@seawrightrealtygroup.com,Minority-owned,,,Hyde Park
Shanti,Accommodation and Food Services,1111 Dorchester Ave,2125,https://www.shantiboston.com/,6179293900,rokeya@shantiboston.com,"Minority-owned, Immigrant-owned",,,Dorchester
SML Associates ,"Professional, Scientific, and Technical Services",43 Colchester Street ,2136,No Website,508-932-9074,Smlassociates617@gmail.com,,,,Hyde Park
So Sabe Catering ,Accommodation and Food Services,996 Dorchester Ave Dorchester Ma,2125,https://www.sosabecatering.com,1(617)326-6432,juliajardim013@gmail.com,"Minority-owned, Immigrant-owned",,,Dorchester
So Saucy Entertainment ,"Professional, Scientific, and Technical Services",Boston MA,2125,http://mshotsauce2u.com,9105572823,mshotsauce2u@gmail.com,Minority-owned,,,Dorchester
Soma Yoga Center,"Amusement, Recreation, and Transportation",256 Hanover Street,2113,www.somayogacenter.com ,8572653619,gina@somayogacenter.com ,,,,Central Boston
Sophy Tuttle Studios,"Professional, Scientific, and Technical Services","26 Gorham Road, #2, Medford, MA",2155,http://www.sophytuttle.com,(978)394-1954,sophy@sophytuttle.com,Immigrant-owned,,,Medford
Spark FM Online ,Information,Boston MA ,2125,http://sparkfmonline.com,No Number,sparkfmonline1@gmail.com,Minority-owned,,,Dorchester
Spark Joy Boston,"Professional, Scientific, and Technical Services",186 Washington Street Brighton MA,2135,http://www.sparkjoyboston.com,413-575-0188,Phoebe@sparkjoyboston.com,Minority-owned,,,Allston/Brighton
Sparkle Clean Boston LLC,"Professional, Scientific, and Technical Services",Boston ma,2119,https://www.sparklecleanboston.com/,7813758475,Sparklecleaningcompany21@gmail.com,Minority-owned,,,Roxbury
Spatial Relationships,"Professional, Scientific, and Technical Services",800 Boylston St #990756,2199,http://www.spatial-relationships.com,8574008922,kathrynb@spatial-relationships.com,,,,Back Bay/Beacon Hill
Speak Like A Badass,"Professional, Scientific, and Technical Services","Newton, MA",2101,https://www.speaklikeabadass.com/,617.826.9412,AK@SpeakLikeABadass.com,"Immigrant-owned, N/A",,,Central Boston
Sprinkles Ice Cream,Accommodation and Food Services,120 Faneuil Hall Marketplace,2109,www.quincymarketsweets.com,617-367-0569,Syoungelson@aol.com,,,,Central Boston
STORII PRODUCTIONS INC,"Amusement, Recreation, and Transportation","Boston, MA",2121,No Website,6173044073,storiiproductions@gmail.com,"Minority-owned, Immigrant-owned",,,Roxbury
SUPERFRAU ,Accommodation and Food Services,"196 Quincy St Dorchester, MA",2121,https://www.drinksuperfrau.com/,6172099786,Hello@drinksuperfrau.com,,,,Roxbury
Superior Service Cleaning and Labor,"Professional, Scientific, and Technical Services",108 GREENFIELD ROAD Suite 1R,2126,https://www.superiorservicecleaning.com/,617-980-8740,spena@superiorservicecleaning.com,Minority-owned,,,Mattapan
Sweet Temptations,Retail Trade,1340 Centre Street,2124,www.sweettemptationz.com,6175127731,tb@sweettemptationz.com,Minority-owned,,,Dorchester
sweeties,Accommodation and Food Services,48 Corinth St. Roslindale,2131,www.sweeties-social.com,No Number,anika.ws.gramsey@gmail.com,Minority-owned,,,Roslindale
Sydney Janey Design | JaneyWORKS,Construction,151 Townsend Street,2121,http://sydneyjaneydesign.com,8572300639,sydney@sydneyjaneydesign.com,Minority-owned,,,Roxbury
"Sylvia M. Singleton, CPA","Professional, Scientific, and Technical Services","5230 Washington Street, Ste. 1, West Roxbury",2132,www.smsingletoncpa.com,617-390-2077,sylvia@smsingletoncpa.com,Minority-owned,,,West Roxbury
sySTEMic flow ,Education,"Boston, MA",2132,http://www.systemicflow.com,No Number,jsanon@systemicflow.com,Minority-owned,,,West Roxbury
Tayla Made LLC,"Professional, Scientific, and Technical Services",472 Washington Street,2124,www.taylaandre.com,6174590041,taylaandre@thumbprintrealty.com,Minority-owned,,,Dorchester
The Beauty Executives’s Aesthetics ,Other Services (Except Public Administration),653 Washington st unit A Quincy ma ,2169,www.beautyexecs.com,7742085568,Info@beautyexecs.com,Minority-owned,,,Quincy
"The Corny Bread Company, LLC",Accommodation and Food Services,196 Quincy Street,2121,https://cornybread.com,617.917.5888,info@cornybread.com,Minority-owned,,,Roxbury
The Healing Hound LLC,Healthcare and Social Assistance,45 Blanchard Rd Cambridge MA ,2138,thehealinghound.info,480-313-1716,contactthehealinghound@gmail.com,,,,Cambridge
The Mindful Mutt,"Professional, Scientific, and Technical Services","Allston, Brighton, Brookline",2135,https://www.themindfulmutt.com/,631-680-9202,themindfulmuttboston@gmail.com,Minority-owned,,,Allston/Brighton
The Rose Maven,Retail Trade,E-Commerce Store,2368,https://therosemaven.com,6172099917,shop@therosemaven.com,Minority-owned,,,Randolph
The Rose Maven,Retail Trade,62 Howard St Randolph,2368,therosemaven.com,6172099917,elle@therosemaven.com,Minority-owned,,,Randolph
The Soul Supplier,"Professional, Scientific, and Technical Services",425 Massachusetts Ave,2139,https://thesoulsupplier.com,401-696-8400,sukia@thesoulsupplier.com,Minority-owned,,,Cambridge
The Stitch House,"Professional, Scientific, and Technical Services",846 Dorchester Ave,2125,https://www.stitchhousedorchester.com/,617-265-8013,info@stitchhousedorchester.com,,,,Dorchester
The Yoga Playground,"Amusement, Recreation, and Transportation",126 W 8th Street,2127,https://www.yogaplayground.org/,6179434408,theyoga.playground@gmail.com,,,,South Boston
Therapy Evolved ,Healthcare and Social Assistance,Virtual ,2346,http://www.therapyevolved.com,781-353-8068,Cheryl@therapyevolved.com,,,,Middleboro
TomBoy Glam,Other Services (Except Public Administration),Mobile,2122,No Website,No Number,No Email,Minority-owned,,,Dorchester
TransitionHER,"Professional, Scientific, and Technical Services",1 Devonshire Place,2109,http://www.transitionher.com/,8477070225,jayne@transitionher.com,,,,Central Boston
True Essence Beauty Supply,Retail Trade,Currently online based,2124,www.trueessencebeautysupply.com,6179350011,thequeenzessence@gmail.com,Minority-owned,,,Dorchester
VA Graphx,"Professional, Scientific, and Technical Services",Massachusetts,2108,No Website,7746337120,vagraphx@gmail.com,Minority-owned,,,Back Bay/Beacon Hill
Vers-ability,"Professional, Scientific, and Technical Services",5 Hatherly Rd,2135,https://www.vers-ability.com,8577537126,versabilitydecor@gmail.com,,,,Allston/Brighton
VS Nailz,"Professional, Scientific, and Technical Services",305 Hancock Street,2125,No Website,8574924621,kiara.kerr@gmail.com,Minority-owned,,,Dorchester
We Are Hair,Other Services (Except Public Administration),18A Hyde Park Ave.,2130,No Website,6174708905,wearehair2@gmail.com,Minority-owned,,,Jamaica Plain
Weddings ,"Professional, Scientific, and Technical Services",11 Locust St Winthrop ,2152,No Website,7814920356,justiceofthepeaceboston@gmail.com,Immigrant-owned,,,Winthrop
Wee Care JP ,Education,305 Lamartine Street ,2130,No Website,617-522-7901,weecarejp@comcast.net ,Minority-owned,,,Jamaica Plain
Women's Hub,"Professional, Scientific, and Technical Services","Boston, MA",2110,https://www.thewomenshub.net/,617-852-1489,vanessa@vanessafarino.com,"Minority-owned, Immigrant-owned",,,Central Boston
World-Pro Paint Corp,Construction,1269 Hyde Park Ave,2136,https://World-Propaint.com,16173918729,hello@world-propaint.com,Minority-owned,,,Hyde Park
www.peppatopshairbar.com,Retail Trade,9 Saint Casimir Street,2127,https://www.peppatopshairbar.com/,6174477633,peppatops@gmail.com,Minority-owned,,,South Boston
YOCO,"Amusement, Recreation, and Transportation",391 Revolution Drive,2145,https://www.yoco.space/,7742748966,yogainom@gmail.com,Minority-owned,,,Somerville
ZAAZEY,Retail Trade,"588 Boston post Road, suite 301, Weston, MA 02493",2445,https://www.zaazey.com,6172168675,Laura@zaazey.com,,,,Brookline
Zenagos,"Professional, Scientific, and Technical Services","Quincy, MA",2171,https://zenagos.com/,6174488821,mavis@zenagos.com,Minority-owned,,,Quincy
